top_left,top_right,bottom_left,solution
puzzle_174_tl,puzzle_174_tr,puzzle_174_bl,red_circle
puzzle_175_tl,puzzle_175_tr,puzzle_175_bl,green_rhombus
puzzle_176_tl,puzzle_176_tr,puzzle_176_bl,yellow_circle
puzzle_177_tl,puzzle_177_tr,puzzle_177_bl,red_circle
puzzle_178_tl,puzzle_178_tr,puzzle_178_bl,blue_triangle
puzzle_179_tl,puzzle_179_tr,puzzle_179_bl,yellow_rhombus
puzzle_180_tl,puzzle_180_tr,puzzle_180_bl,yellow_square
puzzle_181_tl,puzzle_181_tr,puzzle_181_bl,red_rhombus
puzzle_182_tl,puzzle_182_tr,puzzle_182_bl,yellow_rhombus
puzzle_183_tl,puzzle_183_tr,puzzle_183_bl,yellow_square
puzzle_184_tl,puzzle_184_tr,puzzle_184_bl,green_triangle
puzzle_185_tl,puzzle_185_tr,puzzle_185_bl,yellow_rhombus
puzzle_186_tl,puzzle_186_tr,puzzle_186_bl,blue_square
puzzle_187_tl,puzzle_187_tr,puzzle_187_bl,yellow_triangle
puzzle_188_tl,puzzle_188_tr,puzzle_188_bl,green_rhombus
puzzle_189_tl,puzzle_189_tr,puzzle_189_bl,blue_rhombus
puzzle_190_tl,puzzle_190_tr,puzzle_190_bl,red_circle
puzzle_191_tl,puzzle_191_tr,puzzle_191_bl,blue_circle
puzzle_192_tl,puzzle_192_tr,puzzle_192_bl,yellow_circle
puzzle_193_tl,puzzle_193_tr,puzzle_193_bl,green_circle
puzzle_194_tl,puzzle_194_tr,puzzle_194_bl,green_square
puzzle_195_tl,puzzle_195_tr,puzzle_195_bl,red_circle
puzzle_196_tl,puzzle_196_tr,puzzle_196_bl,green_triangle
puzzle_197_tl,puzzle_197_tr,puzzle_197_bl,blue_square
puzzle_198_tl,puzzle_198_tr,puzzle_198_bl,red_triangle
puzzle_199_tl,puzzle_199_tr,puzzle_199_bl,red_square
puzzle_200_tl,puzzle_200_tr,puzzle_200_bl,red_rhombus
puzzle_201_tl,puzzle_201_tr,puzzle_201_bl,red_rhombus
puzzle_202_tl,puzzle_202_tr,puzzle_202_bl,blue_square
puzzle_203_tl,puzzle_203_tr,puzzle_203_bl,blue_circle
puzzle_204_tl,puzzle_204_tr,puzzle_204_bl,green_triangle
puzzle_205_tl,puzzle_205_tr,puzzle_205_bl,red_rhombus
puzzle_206_tl,puzzle_206_tr,puzzle_206_bl,yellow_square
puzzle_207_tl,puzzle_207_tr,puzzle_207_bl,yellow_square
puzzle_208_tl,puzzle_208_tr,puzzle_208_bl,blue_triangle
puzzle_209_tl,puzzle_209_tr,puzzle_209_bl,red_triangle
puzzle_210_tl,puzzle_210_tr,puzzle_210_bl,green_square
puzzle_211_tl,puzzle_211_tr,puzzle_211_bl,yellow_circle
puzzle_212_tl,puzzle_212_tr,puzzle_212_bl,green_circle
puzzle_213_tl,puzzle_213_tr,puzzle_213_bl,green_triangle
puzzle_214_tl,puzzle_214_tr,puzzle_214_bl,blue_rhombus
puzzle_215_tl,puzzle_215_tr,puzzle_215_bl,blue_square
puzzle_216_tl,puzzle_216_tr,puzzle_216_bl,green_square
puzzle_217_tl,puzzle_217_tr,puzzle_217_bl,red_circle
puzzle_218_tl,puzzle_218_tr,puzzle_218_bl,green_triangle
puzzle_219_tl,puzzle_219_tr,puzzle_219_bl,blue_triangle
puzzle_220_tl,puzzle_220_tr,puzzle_220_bl,blue_circle
puzzle_221_tl,puzzle_221_tr,puzzle_221_bl,red_triangle
puzzle_222_tl,puzzle_222_tr,puzzle_222_bl,yellow_circle
puzzle_223_tl,puzzle_223_tr,puzzle_223_bl,yellow_circle
puzzle_224_tl,puzzle_224_tr,puzzle_224_bl,blue_square
puzzle_225_tl,puzzle_225_tr,puzzle_225_bl,blue_circle
puzzle_226_tl,puzzle_226_tr,puzzle_226_bl,red_triangle
puzzle_227_tl,puzzle_227_tr,puzzle_227_bl,blue_circle
puzzle_228_tl,puzzle_228_tr,puzzle_228_bl,blue_rhombus
puzzle_229_tl,puzzle_229_tr,puzzle_229_bl,blue_triangle
puzzle_230_tl,puzzle_230_tr,puzzle_230_bl,red_triangle
puzzle_231_tl,puzzle_231_tr,puzzle_231_bl,yellow_square
puzzle_232_tl,puzzle_232_tr,puzzle_232_bl,yellow_triangle
puzzle_233_tl,puzzle_233_tr,puzzle_233_bl,yellow_circle
puzzle_234_tl,puzzle_234_tr,puzzle_234_bl,red_rhombus
puzzle_235_tl,puzzle_235_tr,puzzle_235_bl,blue_square
puzzle_236_tl,puzzle_236_tr,puzzle_236_bl,blue_rhombus
puzzle_237_tl,puzzle_237_tr,puzzle_237_bl,green_triangle
puzzle_238_tl,puzzle_238_tr,puzzle_238_bl,blue_rhombus
puzzle_239_tl,puzzle_239_tr,puzzle_239_bl,green_circle
puzzle_240_tl,puzzle_240_tr,puzzle_240_bl,yellow_rhombus
puzzle_241_tl,puzzle_241_tr,puzzle_241_bl,red_square
puzzle_242_tl,puzzle_242_tr,puzzle_242_bl,yellow_triangle
puzzle_243_tl,puzzle_243_tr,puzzle_243_bl,green_circle
puzzle_244_tl,puzzle_244_tr,puzzle_244_bl,yellow_circle
puzzle_245_tl,puzzle_245_tr,puzzle_245_bl,green_triangle
puzzle_246_tl,puzzle_246_tr,puzzle_246_bl,yellow_square
puzzle_247_tl,puzzle_247_tr,puzzle_247_bl,red_circle
puzzle_248_tl,puzzle_248_tr,puzzle_248_bl,yellow_triangle
puzzle_249_tl,puzzle_249_tr,puzzle_249_bl,blue_triangle
puzzle_250_tl,puzzle_250_tr,puzzle_250_bl,blue_square
puzzle_251_tl,puzzle_251_tr,puzzle_251_bl,blue_circle
puzzle_252_tl,puzzle_252_tr,puzzle_252_bl,green_rhombus
puzzle_253_tl,puzzle_253_tr,puzzle_253_bl,blue_square
puzzle_254_tl,puzzle_254_tr,puzzle_254_bl,blue_rhombus
puzzle_255_tl,puzzle_255_tr,puzzle_255_bl,red_triangle
puzzle_256_tl,puzzle_256_tr,puzzle_256_bl,yellow_triangle
puzzle_257_tl,puzzle_257_tr,puzzle_257_bl,yellow_rhombus
puzzle_258_tl,puzzle_258_tr,puzzle_258_bl,yellow_rhombus
puzzle_259_tl,puzzle_259_tr,puzzle_259_bl,yellow_circle
puzzle_260_tl,puzzle_260_tr,puzzle_260_bl,red_triangle
puzzle_261_tl,puzzle_261_tr,puzzle_261_bl,blue_rhombus
puzzle_262_tl,puzzle_262_tr,puzzle_262_bl,blue_circle
puzzle_263_tl,puzzle_263_tr,puzzle_263_bl,red_triangle
puzzle_264_tl,puzzle_264_tr,puzzle_264_bl,blue_square
puzzle_265_tl,puzzle_265_tr,puzzle_265_bl,green_triangle
puzzle_266_tl,puzzle_266_tr,puzzle_266_bl,red_square
puzzle_267_tl,puzzle_267_tr,puzzle_267_bl,green_rhombus
puzzle_268_tl,puzzle_268_tr,puzzle_268_bl,blue_rhombus
puzzle_269_tl,puzzle_269_tr,puzzle_269_bl,red_triangle
puzzle_270_tl,puzzle_270_tr,puzzle_270_bl,yellow_square
puzzle_271_tl,puzzle_271_tr,puzzle_271_bl,yellow_rhombus
puzzle_272_tl,puzzle_272_tr,puzzle_272_bl,green_triangle
puzzle_273_tl,puzzle_273_tr,puzzle_273_bl,blue_triangle
puzzle_274_tl,puzzle_274_tr,puzzle_274_bl,yellow_circle
puzzle_275_tl,puzzle_275_tr,puzzle_275_bl,yellow_circle
puzzle_276_tl,puzzle_276_tr,puzzle_276_bl,red_square
puzzle_277_tl,puzzle_277_tr,puzzle_277_bl,blue_triangle
puzzle_278_tl,puzzle_278_tr,puzzle_278_bl,blue_rhombus
puzzle_279_tl,puzzle_279_tr,puzzle_279_bl,blue_square
puzzle_280_tl,puzzle_280_tr,puzzle_280_bl,green_circle
puzzle_281_tl,puzzle_281_tr,puzzle_281_bl,red_circle
puzzle_282_tl,puzzle_282_tr,puzzle_282_bl,blue_triangle
puzzle_283_tl,puzzle_283_tr,puzzle_283_bl,blue_rhombus
puzzle_284_tl,puzzle_284_tr,puzzle_284_bl,green_circle
puzzle_285_tl,puzzle_285_tr,puzzle_285_bl,blue_triangle
puzzle_286_tl,puzzle_286_tr,puzzle_286_bl,green_circle
puzzle_287_tl,puzzle_287_tr,puzzle_287_bl,green_rhombus
puzzle_288_tl,puzzle_288_tr,puzzle_288_bl,yellow_square
puzzle_289_tl,puzzle_289_tr,puzzle_289_bl,yellow_triangle
puzzle_290_tl,puzzle_290_tr,puzzle_290_bl,red_triangle
puzzle_291_tl,puzzle_291_tr,puzzle_291_bl,blue_rhombus
puzzle_292_tl,puzzle_292_tr,puzzle_292_bl,yellow_circle
puzzle_293_tl,puzzle_293_tr,puzzle_293_bl,red_square
puzzle_294_tl,puzzle_294_tr,puzzle_294_bl,yellow_rhombus
puzzle_295_tl,puzzle_295_tr,puzzle_295_bl,yellow_rhombus
puzzle_296_tl,puzzle_296_tr,puzzle_296_bl,blue_square
puzzle_297_tl,puzzle_297_tr,puzzle_297_bl,blue_triangle
puzzle_298_tl,puzzle_298_tr,puzzle_298_bl,red_circle
puzzle_299_tl,puzzle_299_tr,puzzle_299_bl,red_circle
puzzle_300_tl,puzzle_300_tr,puzzle_300_bl,yellow_rhombus
puzzle_301_tl,puzzle_301_tr,puzzle_301_bl,yellow_triangle
puzzle_302_tl,puzzle_302_tr,puzzle_302_bl,blue_rhombus
puzzle_303_tl,puzzle_303_tr,puzzle_303_bl,green_triangle
puzzle_304_tl,puzzle_304_tr,puzzle_304_bl,green_rhombus
puzzle_305_tl,puzzle_305_tr,puzzle_305_bl,yellow_triangle
puzzle_306_tl,puzzle_306_tr,puzzle_306_bl,blue_square
puzzle_307_tl,puzzle_307_tr,puzzle_307_bl,yellow_rhombus
puzzle_308_tl,puzzle_308_tr,puzzle_308_bl,red_rhombus
puzzle_309_tl,puzzle_309_tr,puzzle_309_bl,red_triangle
puzzle_310_tl,puzzle_310_tr,puzzle_310_bl,red_triangle
puzzle_311_tl,puzzle_311_tr,puzzle_311_bl,green_square
puzzle_312_tl,puzzle_312_tr,puzzle_312_bl,yellow_triangle
puzzle_313_tl,puzzle_313_tr,puzzle_313_bl,yellow_square
puzzle_314_tl,puzzle_314_tr,puzzle_314_bl,yellow_triangle
puzzle_315_tl,puzzle_315_tr,puzzle_315_bl,blue_rhombus
puzzle_316_tl,puzzle_316_tr,puzzle_316_bl,yellow_square
puzzle_317_tl,puzzle_317_tr,puzzle_317_bl,yellow_triangle
puzzle_318_tl,puzzle_318_tr,puzzle_318_bl,green_rhombus
puzzle_319_tl,puzzle_319_tr,puzzle_319_bl,blue_square
puzzle_320_tl,puzzle_320_tr,puzzle_320_bl,blue_circle
puzzle_321_tl,puzzle_321_tr,puzzle_321_bl,blue_circle
puzzle_322_tl,puzzle_322_tr,puzzle_322_bl,blue_circle
puzzle_323_tl,puzzle_323_tr,puzzle_323_bl,yellow_square
puzzle_324_tl,puzzle_324_tr,puzzle_324_bl,red_square
puzzle_325_tl,puzzle_325_tr,puzzle_325_bl,yellow_triangle
puzzle_326_tl,puzzle_326_tr,puzzle_326_bl,blue_circle
puzzle_327_tl,puzzle_327_tr,puzzle_327_bl,red_square
puzzle_328_tl,puzzle_328_tr,puzzle_328_bl,yellow_circle
puzzle_329_tl,puzzle_329_tr,puzzle_329_bl,blue_square
puzzle_330_tl,puzzle_330_tr,puzzle_330_bl,green_square
puzzle_331_tl,puzzle_331_tr,puzzle_331_bl,yellow_square
puzzle_332_tl,puzzle_332_tr,puzzle_332_bl,yellow_circle
puzzle_333_tl,puzzle_333_tr,puzzle_333_bl,green_square
puzzle_334_tl,puzzle_334_tr,puzzle_334_bl,red_rhombus
puzzle_335_tl,puzzle_335_tr,puzzle_335_bl,green_triangle
puzzle_336_tl,puzzle_336_tr,puzzle_336_bl,red_rhombus
puzzle_337_tl,puzzle_337_tr,puzzle_337_bl,green_circle
puzzle_338_tl,puzzle_338_tr,puzzle_338_bl,yellow_square
puzzle_339_tl,puzzle_339_tr,puzzle_339_bl,blue_rhombus
puzzle_340_tl,puzzle_340_tr,puzzle_340_bl,yellow_rhombus
puzzle_341_tl,puzzle_341_tr,puzzle_341_bl,red_circle
puzzle_342_tl,puzzle_342_tr,puzzle_342_bl,red_square
puzzle_343_tl,puzzle_343_tr,puzzle_343_bl,red_triangle
puzzle_344_tl,puzzle_344_tr,puzzle_344_bl,red_rhombus
puzzle_345_tl,puzzle_345_tr,puzzle_345_bl,red_circle
puzzle_346_tl,puzzle_346_tr,puzzle_346_bl,yellow_circle
puzzle_347_tl,puzzle_347_tr,puzzle_347_bl,blue_square
puzzle_348_tl,puzzle_348_tr,puzzle_348_bl,red_rhombus
puzzle_349_tl,puzzle_349_tr,puzzle_349_bl,yellow_square
puzzle_350_tl,puzzle_350_tr,puzzle_350_bl,blue_square
puzzle_351_tl,puzzle_351_tr,puzzle_351_bl,green_rhombus
puzzle_352_tl,puzzle_352_tr,puzzle_352_bl,blue_square
puzzle_353_tl,puzzle_353_tr,puzzle_353_bl,red_square
puzzle_354_tl,puzzle_354_tr,puzzle_354_bl,red_square
puzzle_355_tl,puzzle_355_tr,puzzle_355_bl,blue_square
puzzle_356_tl,puzzle_356_tr,puzzle_356_bl,yellow_triangle
puzzle_357_tl,puzzle_357_tr,puzzle_357_bl,green_rhombus
puzzle_358_tl,puzzle_358_tr,puzzle_358_bl,red_rhombus
puzzle_359_tl,puzzle_359_tr,puzzle_359_bl,yellow_rhombus
puzzle_360_tl,puzzle_360_tr,puzzle_360_bl,red_circle
puzzle_361_tl,puzzle_361_tr,puzzle_361_bl,blue_circle
puzzle_362_tl,puzzle_362_tr,puzzle_362_bl,yellow_triangle
puzzle_363_tl,puzzle_363_tr,puzzle_363_bl,green_square
puzzle_364_tl,puzzle_364_tr,puzzle_364_bl,green_rhombus
puzzle_365_tl,puzzle_365_tr,puzzle_365_bl,blue_rhombus
puzzle_366_tl,puzzle_366_tr,puzzle_366_bl,blue_rhombus
puzzle_367_tl,puzzle_367_tr,puzzle_367_bl,red_circle
puzzle_368_tl,puzzle_368_tr,puzzle_368_bl,red_triangle
puzzle_369_tl,puzzle_369_tr,puzzle_369_bl,green_rhombus
puzzle_370_tl,puzzle_370_tr,puzzle_370_bl,yellow_rhombus
puzzle_371_tl,puzzle_371_tr,puzzle_371_bl,green_triangle
puzzle_372_tl,puzzle_372_tr,puzzle_372_bl,red_square
puzzle_373_tl,puzzle_373_tr,puzzle_373_bl,red_triangle
puzzle_374_tl,puzzle_374_tr,puzzle_374_bl,blue_square
puzzle_375_tl,puzzle_375_tr,puzzle_375_bl,yellow_square
puzzle_376_tl,puzzle_376_tr,puzzle_376_bl,red_square
puzzle_377_tl,puzzle_377_tr,puzzle_377_bl,blue_rhombus
puzzle_378_tl,puzzle_378_tr,puzzle_378_bl,red_triangle
puzzle_379_tl,puzzle_379_tr,puzzle_379_bl,blue_square
puzzle_380_tl,puzzle_380_tr,puzzle_380_bl,blue_rhombus
puzzle_381_tl,puzzle_381_tr,puzzle_381_bl,yellow_triangle
puzzle_382_tl,puzzle_382_tr,puzzle_382_bl,green_square
puzzle_383_tl,puzzle_383_tr,puzzle_383_bl,blue_square
puzzle_384_tl,puzzle_384_tr,puzzle_384_bl,green_rhombus
